Brand,Product Name,Price,Product Link
Levis,Solid Lounge T-shirt,Rs. 558,https://www.myntra.comlounge-tshirts/levis/levis-men-soft-pure-cotton-round-neck-half-sleeve-tshirt/12027436/buy
Levis,Men Solid Thermal Top,Rs. 483,https://www.myntra.comthermal-tops/levis/levis-mens-round-neck-half-sleeve-thermal-regular-fit-top/10723252/buy
Levis,Men 511 Slim Fit Jeans,Rs. 1439,https://www.myntra.comjeans/levis/levis-men-511-slim-fit-light-fade-stretchable-jeans/25756782/buy
Levis,Men Neo Briefs,Rs. 201,https://www.myntra.combriefs/levis/levis-men-solid-cotton-ultrasoft-waistband-brief-with-smartskin-technology/9263091/buy
Levis,Men Pack of 2 Solid Briefs,Rs. 383,https://www.myntra.combriefs/levis/levis-men-pack-of-2-solid-cotton-ultrasoft-waistband-brief-with-smartskin-technology/9262603/buy
Levis,Men 512 Slim Fit Jeans,Rs. 1739,https://www.myntra.comjeans/levis/levis-men-512--low-rise-light-fade-stretchable-tapered-fit-jeans/25756744/buy
Levis,Solid Lounge T-shirt,Rs. 558,https://www.myntra.comlounge-tshirts/levis/levis-men-soft-pure-cotton-round-neck-half-sleeve-tshirt/12027432/buy
Levis,Men Solid Innerwear Vest,Rs. 239,https://www.myntra.cominnerwear-vests/levis/levis-men-solid-scoop-neck-sleeveless-pure-cotton-classic-vest/9270955/buy
Levis,Men Assorted Solid Trunks,Rs. 259,https://www.myntra.comtrunk/levis/levis-men-assorted-solid-trunks-018-trunk-asst-p1/14461444/buy
Levis,Men Pure Cotton Neo Brief,Rs. 201,https://www.myntra.combriefs/levis/levis-men-solid-cotton-ultrasoft-waistband-brief-with-smartskin-technology/9262481/buy
Levis,Men Solid Innerwear Vest,Rs. 279,https://www.myntra.cominnerwear-vests/levis/levis-men-solid-round-neck-sleeveless-pure-cotton-rib-vest/9270895/buy
Levis,Men Slim Fit Jeans,Rs. 1739,https://www.myntra.comjeans/levis/levis-men-511-slim-low-rise-light-fade-stretchable-jeans/25756832/buy
Levis,Cotton Sweatshirt & Shorts,Rs. 1871,https://www.myntra.comco-ords/levis/levis-pure-cotton-printed-sweatshirt--shorts/32905216/buy
Levis,Men Checked Backpack- 17 Ltr,Rs. 839,https://www.myntra.combackpacks/levis/levis-men-checked-backpack---17-ltr/26436538/buy
Levis,Brand Logo Printed Trunk,Rs. 469,https://www.myntra.comtrunk/levis/levis-men-solid-micro-modal-strech-supima-cotton-shorter-length-trunk/30144089/buy
Levis,Men Pack of 2 Neo Briefs,Rs. 383,https://www.myntra.combriefs/levis/levis-men-pack-of-2-solid-cotton-ultrasoft-waistband-brief-with-smartskin-technology/9262443/buy
Levis,Men Solid Thermal Top,Rs. 483,https://www.myntra.comthermal-tops/levis/levis-mens-round-neck-half-sleeve-thermal-regular-fit-top-grey/10723242/buy
Levis,Men Solid Pure Cotton Boxers,Rs. 521,https://www.myntra.comboxers/levis/levis-men-solid-cotton-woven-soft--boxer-shorts-with-side-pocket/11870958/buy
Levis,Solid V-Neck Lounge T-shirt,Rs. 558,https://www.myntra.comlounge-tshirts/levis/levis-men-pure-cotton-v-neck-short-sleeve-tshirt/12027420/buy
Levis,Pack of 2 Assorted Briefs,Rs. 283,https://www.myntra.combriefs/levis/levis-men-pack-of-2-solid-pure-cotton-brief-with-smartskin-technology/14447770/buy
Levis,Men Printed Assorted Trunks,Rs. 292,https://www.myntra.comtrunk/levis/levis-men-assorted-printed-trunks-022/14461440/buy
Levis,Solid Lounge T-shirt,Rs. 558,https://www.myntra.comlounge-tshirts/levis/levis-men-soft-pure-cotton-round-neck-half-sleeve-tshirt/12027422/buy
Levis,Solid V-Neck Lounge T-shirt,Rs. 558,https://www.myntra.comlounge-tshirts/levis/levis-men-pure-cotton-v-neck-short-sleeve-tshirt/12027434/buy
Levis,Men 511 Slim Fit Jeans,Rs. 2204,https://www.myntra.comjeans/levis/levis-men-511-slim-fit-stretchable-jeans/35552287/buy
Levis,Pack of 2 Cotton Briefs,Rs. 383,https://www.myntra.combriefs/levis/levis-men-pack-of-2-solid-cotton-ultrasoft-waistband-brief-with-smartskin-technology/9262607/buy
Levis,Solid Lounge T-shirt,Rs. 558,https://www.myntra.comlounge-tshirts/levis/levis-men-soft-pure-cotton-round-neck-half-sleeve-tshirt/12027418/buy
Levis,Printed Pure Cotton Boxers,Rs. 575,https://www.myntra.comboxers/levis/levis-men-printed-cotton-woven-soft--boxer-shorts-with-side-pocket/30143920/buy
